timestamp(seconds),value
0.0,152.971286346
0.1,151.719114598
0.2,150.977084029
0.3,150.46694285
0.4,150.46694285
0.5,149.724912281
0.6,150.977084029
0.7,148.472729477
0.8,148.472729477
0.9,148.217664416
1.0,147.475633847
1.1,146.988679396
1.2,146.733603278
1.3,146.223462099
1.4,147.985775025
1.5,146.223462099
1.6,144.971290351
1.7,144.971290351
1.8,143.974183664
1.9,143.487229213
2.0,143.232153095
2.1,142.235057465
2.2,143.487229213
2.3,144.229259782
2.4,139.98577903
2.5,139.498824579
2.6,138.733607283
2.7,137.481424478
2.8,136.994470027
2.9,136.484328848
3.0,137.249546145
3.1,137.481424478
3.2,134.235050413
3.3,134.235050413
3.4,133.748095962
3.5,132.750989275
3.6,132.240848096
3.7,131.498817527
3.8,130.988676349
3.9,132.495924214
4.0,129.50461521
4.1,129.249539093
4.2,128.507519581
4.3,127.742302284
4.4,127.255336776
4.5,126.745195597
4.6,128.252443463
4.7,126.513317264
4.8,125.006069398
4.9,125.006069398
5.0,124.008962711
5.1,123.498821532
5.2,123.011867081
5.3,125.006069398
5.4,123.753886593
5.5,121.272729825
5.6,121.272729825
5.7,120.507512529
5.8,119.765481959
5.9,119.255340781
6.0,121.759684276
6.1,120.252436411
6.2,117.261138464
6.3,117.516214582
6.4,117.029249074
6.5,116.264031777
6.6,116.008966716
6.7,117.516214582
6.8,115.522001208
6.9,114.014764399
7.0,114.26982946
7.1,113.527798891
7.2,113.017657712
7.3,114.26982946
7.4,114.26982946
7.5,113.27273383
7.6,111.278531513
7.7,111.023455395
7.8,110.281424826
7.9,109.771283648
8.0,109.539394257
8.1,111.533596574
8.2,110.768379278
8.3,110.536500944
8.4,108.28722251
8.5,107.522005213
8.6,106.779974644
8.7,106.524909583
8.8,106.037944075
8.9,108.5191119
9.0,107.522005213
9.1,107.035050762
9.2,105.040848445
9.3,104.275631148
9.4,103.533600579
9.5,103.278524461
9.6,103.046646128
9.7,106.037944075
9.8,104.530696209
9.9,102.79157001
10.0,102.536493892
10.1,101.539398262
10.2,100.542291575
10.3,100.287226515
10.4,100.032150397
10.5,103.533600579
10.6,101.794463323
10.7,100.032150397
10.8,99.5451959456
10.9,99.0350437097
11.0,97.8060586896
11.1,97.2959175108
11.2,97.0408413929
11.3,98.2930241978
11.4,98.8031653765
11.5,98.5480892586
11.6,96.7857763321
11.7,96.043745763
11.8,95.301715194
11.9,94.5596846249
12.0,94.304608507
12.1,96.043745763
12.2,96.043745763
12.3,94.5596846249
12.4,94.304608507
12.5,93.5393912104
12.6,92.5422955805
12.7,91.8002650114
12.8,91.5451888935
12.9,94.304608507
13.0,93.5393912104
13.1,92.0553411294
13.2,91.8002650114
13.3,90.8031583245
13.4,90.3162038733
13.5,89.2959215159
13.6,89.0640321255
13.7,91.0582344424
13.8,90.8031583245
13.9,89.5509865767
14.0,89.2959215159
14.1,88.8089560076
14.2,87.8118603778
14.3,87.0698298087
14.4,86.55968863
14.5,88.0669364957
14.6,88.5538909468
14.7,87.3017081419
14.8,87.0698298087
14.9,86.55968863
15.0,85.8176580609
15.1,85.0524407643
15.2,86.3046125121
15.3,86.55968863
15.4,86.0495363941
15.5,85.3075058251
15.6,85.0524407643
15.7,84.3104101952
15.8,83.5683796262
15.9,83.0582384474
16.0,85.562581943
16.1,84.5654863131
16.2,83.5683796262
16.3,83.3133035082
16.4,82.8263490571
16.5,82.0611317605
16.6,81.5741773093
16.7,81.0640361306
16.8,81.5741773093
16.9,82.5712729392
17.0,81.8060556425
17.1,81.3191011914
17.2,81.0640361306
17.3,80.5770706224
17.4,79.8118533257
17.5,79.3248988746
17.6,81.0640361306
17.7,80.5770706224
17.8,79.8118533257
17.9,79.5799749925
18.0,79.0698338138
18.1,78.3278032447
18.2,77.8176510089
18.3,80.0669294436
18.4,78.8147576958
18.5,78.5596815779
18.6,77.8176510089
18.7,77.562585948
18.8,76.820555379
18.9,76.3336009279
19.0,75.823448692
19.1,77.8176510089
19.2,76.820555379
19.3,76.5654792611
19.4,76.0785248099
19.5,75.5683836312
19.6,75.081418123
19.7,74.5712769442
19.8,74.0843224931
19.9,76.0785248099
20.0,75.081418123
20.1,74.8263530622
20.2,74.0843224931
20.3,73.8292463752
20.4,73.3191051964
20.5,72.8321507453
20.6,72.3219985095
20.7,74.0843224931
20.8,73.3191051964
20.9,72.8321507453
21.0,72.3219985095
21.1,72.0901201763
21.2,71.5799679404
21.3,71.3249028796
21.4,70.8379484285
21.5,72.3219985095
21.6,71.8350440584
21.7,71.3249028796
21.8,70.8379484285
21.9,70.5828723106
22.0,70.0727311318
22.1,69.5857656236
22.2,69.3307005628
22.3,70.8379484285
22.4,70.0727311318
22.5,69.8408417415
22.6,69.3307005628
22.7,69.0756244449
22.8,68.5886699937
22.9,68.0785177579
23.0,67.8466394247
23.1,69.0756244449
23.2,68.3335938758
23.3,68.0785177579
23.4,67.5915633068
23.5,67.5915633068
23.6,67.081422128
23.7,66.8263460101
23.8,66.339391559
23.9,67.5915633068
24.0,67.081422128
24.1,66.5944676769
24.2,66.5944676769
24.3,66.0843209696
24.4,65.8292448517
24.5,65.5973609899
24.6,66.8263460101
24.7,66.0843209696
24.8,65.8292448517
24.9,65.5973609899
25.0,65.3422904006
25.1,64.8321436933
25.2,64.6002598315
25.3,64.3451892421
25.4,65.3422904006
25.5,64.8321436933
25.6,64.6002598315
25.7,64.3451892421
25.8,64.0901186528
25.9,63.8350425348
26.0,63.5799719455
26.1,63.3480880837
26.2,64.0901186528
26.3,63.8350425348
26.4,63.5799719455
26.5,63.3480880837
26.6,63.0930174943
26.7,62.8379413764
26.8,62.5828707871
26.9,62.5828707871
27.0,63.0930174943
27.1,62.8379413764
27.2,62.5828707871
27.3,62.5828707871
27.4,62.3509869253
