timestamp(seconds),value
0.0,182.188675042
0.05,180.681438233
0.1,179.939396607
0.15,178.942312034
0.2,178.177094738
0.25,177.690118172
0.3,176.94809866
0.35,176.437946425
0.4,176.182881364
0.45,175.185774677
0.5,174.698820226
0.55,173.933602929
0.6,173.446648478
0.65,172.936496242
0.7,172.19447673
0.75,171.684324494
0.8,171.684324494
0.85,170.687239921
0.9,170.200263356
0.95,169.690133235
1.0,169.203178783
1.05,168.693026548
1.1,167.951007036
1.15,167.4408548
1.2,166.953900349
1.25,167.208965409
1.3,165.956793662
1.35,165.446641426
1.4,164.959686975
1.45,164.449556853
1.5,164.194469678
1.55,163.452450166
1.6,163.197362991
1.65,163.197362991
1.7,162.455343479
1.75,161.968389028
1.8,161.713323967
1.85,160.948106671
1.9,160.461152219
1.95,159.719110593
2.0,159.719110593
2.05,159.208969415
2.1,159.464045532
2.15,158.466938845
2.2,157.956797667
2.25,157.469832158
2.3,157.214767098
2.35,156.704614862
2.4,156.217660411
2.45,155.707519232
2.5,155.96259535
2.55,155.220564781
2.6,154.223458094
2.65,154.223458094
2.7,153.713316915
2.75,153.226362464
2.8,152.716210228
2.85,152.229255777
2.9,151.974179659
2.95,152.461145167
3.0,151.46403848
3.05,150.722007911
3.1,150.46694285
3.15,149.979977342
3.2,149.724912281
3.25,149.214760046
3.3,148.982881712
3.35,149.469836164
3.4,148.217664416
3.45,147.220557729
3.5,147.475633847
3.55,146.733603278
3.6,146.47852716
3.65,145.968385981
3.7,145.736507648
3.75,145.48143153
3.8,146.223462099
3.85,144.971290351
3.9,144.229259782
3.95,143.974183664
4.0,143.487229213
4.05,142.977076977
4.1,142.490122526
4.15,142.235057465
4.2,142.235057465
4.25,142.722011916
4.3,141.237950778
4.35,140.7278096
4.4,140.240855148
4.45,139.98577903
4.5,139.730702913
4.55,139.498824579
4.6,138.988672344
4.65,139.98577903
4.7,138.733607283
4.75,137.481424478
4.8,137.736500596
4.85,137.249546145
4.9,136.994470027
4.95,136.739404966
5.0,136.252439458
5.05,136.252439458
5.1,137.481424478
5.15,135.997374397
5.2,134.745191592
5.25,135.00026771
5.3,134.490126531
5.35,134.235050413
5.4,133.748095962
5.45,133.493019844
5.5,134.745191592
5.55,134.00317208
5.6,133.493019844
5.65,132.008969763
5.7,131.753893645
5.75,131.498817527
5.8,130.988676349
5.85,130.756786958
5.9,130.246645779
5.95,131.753893645
6.0,131.243752466
6.05,130.246645779
6.1,128.762584641
6.15,128.507519581
6.2,128.252443463
6.25,127.997367345
6.3,127.742302284
6.35,127.510412894
6.4,128.994474032
6.45,128.507519581
6.5,126.003165028
6.55,126.003165028
6.6,125.748099967
6.65,125.516210577
6.7,125.261134459
6.75,125.006069398
6.8,125.006069398
6.85,126.745195597
6.9,126.003165028
6.95,124.008962711
7.0,123.011867081
7.05,123.266932142
7.1,122.756790963
7.15,122.501714845
7.2,122.014760394
7.25,122.269836512
7.3,123.753886593
7.35,123.266932142
7.4,120.252436411
7.45,120.252436411
7.5,120.252436411
7.55,120.020558077
7.6,119.510416899
7.65,119.255340781
7.7,119.765481959
7.75,121.272729825
7.8,120.762588646
7.85,118.026355761
7.9,117.771279643
7.95,117.771279643
8.0,117.516214582
8.05,117.029249074
8.1,118.513310212
8.15,119.255340781
8.2,117.516214582
8.25,116.774184013
8.3,115.011860029
8.35,115.266936147
8.4,115.266936147
8.45,114.779981696
8.5,114.524905578
8.55,115.266936147
8.6,117.261138464
8.65,115.011860029
8.7,114.524905578
8.75,112.762581594
8.8,112.762581594
8.85,112.762581594
8.9,112.275627143
8.95,112.020562082
9.0,114.779981696
9.05,114.26982946
9.1,113.017657712
9.15,113.017657712
9.2,110.536500944
9.25,110.768379278
9.3,110.536500944
9.35,110.026348709
9.4,112.275627143
9.45,113.27273383
9.5,112.530703261
