timestamp(seconds),value
0.0,163.452450166
0.2,164.449556853
0.4,164.704621914
0.6,161.203171731
0.8,159.719110593
1.0,158.466938845
1.2,157.214767098
1.4,156.217660411
1.6,154.965488663
1.8,154.478534212
2.0,156.472736529
2.2,155.707519232
2.4,155.220564781
2.6,150.211866733
2.8,149.979977342
3.0,149.469836164
3.2,148.217664416
3.4,147.220557729
3.6,147.985775025
3.8,149.469836164
4.0,148.472729477
4.2,147.475633847
4.4,144.229259782
4.6,142.722011916
4.8,141.724905229
5.0,141.237950778
5.2,139.98577903
5.4,141.979981347
5.6,143.232153095
5.8,142.977076977
6.0,140.495920209
6.2,135.742298279
6.4,135.997374397
6.6,135.00026771
6.8,134.235050413
7.0,133.493019844
7.2,135.00026771
7.4,137.249546145
7.6,135.2321571
7.8,133.006065393
8.0,129.991569662
8.2,128.994474032
8.4,128.507519581
8.6,127.742302284
8.8,126.745195597
9.0,129.991569662
9.2,130.988676349
9.4,127.997367345
9.6,125.748099967
9.8,124.264038829
10.0,122.756790963
10.2,122.501714845
10.4,121.504619215
10.6,121.017664764
10.8,124.51910389
11.0,124.264038829
11.2,123.266932142
11.4,120.020558077
11.6,119.02345139
11.8,116.774184013
12.0,116.774184013
12.2,116.008966716
12.4,119.02345139
12.6,120.762588646
12.8,118.513310212
13.0,117.771279643
13.2,115.011860029
13.4,114.014764399
13.6,113.27273383
13.8,111.278531513
14.0,111.023455395
14.2,113.782875009
14.4,115.011860029
14.6,113.017657712
14.8,111.023455395
15.0,109.771283648
15.2,108.774176961
15.4,107.29012688
15.6,106.037944075
15.8,106.037944075
16.0,108.032146392
16.2,110.026348709
16.4,108.28722251
16.6,106.524909583
16.8,105.272726778
17.0,104.530696209
17.2,102.79157001
17.4,102.049539441
17.6,104.530696209
17.8,106.293020193
18.0,104.785772327
18.2,104.275631148
18.4,102.049539441
18.6,100.797367693
18.8,99.8002610064
19.0,98.8031653765
19.2,98.0379480799
19.4,100.797367693
19.6,101.539398262
19.8,100.542291575
20.0,98.8031653765
20.2,98.0379480799
20.4,97.2959175108
20.6,95.7886696451
20.8,94.7915740152
21.0,94.0495434462
21.2,96.7857763321
21.4,97.5509936287
21.6,96.2988108239
21.8,94.5596846249
22.0,93.7944673283
22.2,93.3075128771
22.4,92.0553411294
22.6,91.0582344424
22.8,90.5480932636
23.0,94.0495434462
23.2,93.3075128771
23.4,91.5451888935
23.6,91.0582344424
23.8,90.3162038733
24.0,89.5509865767
24.2,88.5538909468
24.4,87.8118603778
24.6,90.3162038733
24.8,90.5480932636
25.0,89.8060626946
25.2,88.2988148289
25.4,87.5567842598
25.6,87.3017081419
25.8,86.3046125121
26.0,85.562581943
26.2,84.820551374
26.4,87.3017081419
26.6,87.3017081419
26.8,86.55968863
27.0,85.3075058251
27.2,84.820551374
27.4,84.0553340773
27.6,83.0582384474
27.8,82.5712729392
28.0,82.0611317605
28.2,84.3104101952
28.4,84.0553340773
28.6,82.8263490571
28.8,82.0611317605
29.0,81.5741773093
29.2,80.5770706224
29.4,80.0669294436
29.6,79.5799749925
29.8,80.8089600127
30.0,81.3191011914
30.2,81.0640361306
30.4,80.0669294436
30.6,79.3248988746
30.8,78.8147576958
31.0,78.0727271268
31.2,77.562585948
31.4,76.820555379
31.6,78.5596815779
31.8,78.8147576958
32.0,78.5596815779
32.2,77.3306965577
32.4,76.5654792611
32.6,76.0785248099
32.8,75.3364942409
33.0,74.5712769442
33.2,74.3162008263
33.4,75.823448692
33.6,75.5683836312
33.8,75.3364942409
34.0,74.5712769442
34.2,73.8292463752
34.4,73.0872158061
34.6,72.8321507453
34.8,72.5770746274
35.0,73.5741813144
35.2,73.5741813144
35.4,73.3191051964
35.6,72.5770746274
35.8,71.8350440584
36.0,71.5799679404
36.2,70.8379484285
36.4,70.3277961926
36.6,69.8408417415
36.8,71.0698267617
37.0,71.3249028796
37.2,70.8379484285
37.4,70.0727311318
37.6,69.3307005628
37.8,68.8437461116
38.0,68.3335938758
38.2,67.8466394247
38.4,67.5915633068
38.6,68.8437461116
38.8,68.8437461116
39.0,68.0785177579
39.2,67.5915633068
39.4,67.081422128
39.6,66.339391559
39.8,66.339391559
40.0,65.8292448517
40.2,65.5973609899
40.4,66.5944676769
40.6,66.5944676769
40.8,65.5973609899
41.0,65.3422904006
41.2,64.8321436933
41.4,64.6002598315
41.6,64.3451892421
41.8,63.8350425348
42.0,64.6002598315
42.2,64.6002598315
42.4,64.6002598315
42.6,63.8350425348
42.8,63.5799719455
43.0,63.3480880837
43.2,63.0930174943
43.4,62.5828707871
43.6,62.5828707871
43.8,63.3480880837
44.0,63.0930174943
44.2,62.8379413764
44.4,62.5828707871
44.6,62.3509869253
44.8,62.0959163359
45.0,61.840840218
45.2,61.5857696286
45.4,61.5857696286
45.6,62.0959163359
45.8,62.0959163359
46.0,61.5857696286
46.2,61.3538857669
46.4,61.3538857669
46.6,60.8437390596
46.8,60.8437390596
47.0,60.5886684702
47.2,61.098809649
47.4,61.098809649
47.6,61.098809649
47.8,60.5886684702
48.0,60.3567846085
48.2,60.3567846085
48.4,60.1017084905
48.6,59.8466379012
48.8,59.8466379012
