timestamp(seconds),value
0.0,163.197362991
0.2,161.968389028
0.4,160.71621728
0.6,159.719110593
0.8,158.953893297
1.0,158.953893297
1.2,156.95969098
1.4,155.707519232
1.6,154.478534212
1.8,152.971286346
2.0,152.229255777
2.2,152.716210228
2.4,150.46694285
2.6,149.979977342
2.8,148.472729477
3.0,147.475633847
3.2,146.223462099
3.4,144.484324843
3.6,143.974183664
3.8,143.232153095
4.0,140.98287466
4.2,139.730702913
4.4,138.733607283
4.6,137.736500596
4.8,136.484328848
5.0,137.481424478
5.2,136.739404966
5.4,135.00026771
5.6,134.00317208
5.8,133.237954783
6.0,132.240848096
6.2,131.753893645
6.4,133.006065393
6.6,132.240848096
6.8,130.246645779
7.0,129.50461521
7.2,128.507519581
7.4,127.742302284
7.6,127.255336776
7.8,128.994474032
8.0,128.252443463
8.2,126.003165028
8.4,124.51910389
8.6,123.753886593
8.8,123.011867081
9.0,122.501714845
9.2,124.264038829
9.4,124.264038829
9.6,121.504619215
9.8,119.02345139
10.0,119.02345139
10.2,118.026355761
10.4,117.261138464
10.6,118.513310212
10.8,119.255340781
11.0,117.029249074
11.2,114.014764399
11.4,114.26982946
11.6,113.527798891
11.8,112.762581594
12.0,112.275627143
12.2,113.27273383
12.4,113.27273383
12.6,111.765485965
12.8,109.539394257
13.0,109.284329197
13.2,108.774176961
13.4,108.28722251
13.6,108.774176961
13.8,110.281424826
14.0,109.029253079
14.2,107.522005213
14.4,105.272726778
14.6,105.272726778
14.8,104.785772327
15.0,105.040848445
15.2,107.035050762
15.4,106.293020193
15.6,104.275631148
15.8,101.284322144
16.0,101.284322144
16.2,100.797367693
16.4,100.287226515
16.6,99.8002610064
16.8,103.046646128
17.0,100.542291575
17.2,99.2901198277
17.4,97.0408413929
17.6,96.7857763321
17.8,96.043745763
18.0,95.7886696451
18.2,97.2959175108
18.4,97.0408413929
18.6,96.043745763
18.8,93.3075128771
19.0,92.7973716984
19.2,92.5422955805
19.4,92.0553411294
19.6,93.3075128771
19.8,95.301715194
20.0,93.7944673283
20.2,91.5451888935
20.4,89.5509865767
20.6,88.8089560076
20.8,88.2988148289
21.0,89.5509865767
21.2,90.5480932636
21.4,89.8060626946
21.6,87.5567842598
21.8,86.8147536908
22.0,85.8176580609
22.2,85.0524407643
22.4,84.820551374
22.6,87.3017081419
22.8,86.55968863
23.0,85.3075058251
23.2,84.0553340773
23.4,83.0582384474
23.6,82.3162078784
23.8,81.5741773093
24.0,84.5654863131
24.2,83.5683796262
24.4,83.0582384474
24.6,81.8060556425
24.8,81.0640361306
25.0,80.3220055615
25.2,79.5799749925
25.4,81.5741773093
25.6,81.8060556425
25.8,81.0640361306
26.0,79.8118533257
26.2,79.0698338138
26.4,78.0727271268
26.6,77.562585948
26.8,79.3248988746
27.0,79.3248988746
27.2,78.8147576958
27.4,77.562585948
27.6,76.820555379
27.8,75.823448692
28.0,75.3364942409
28.2,76.5654792611
28.4,77.0756204398
28.6,76.3336009279
28.8,75.3364942409
29.0,74.5712769442
29.2,73.8292463752
29.4,72.8321507453
29.6,72.3219985095
29.8,74.3162008263
30.0,73.5741813144
30.2,73.5741813144
30.4,72.3219985095
30.6,71.5799679404
30.8,70.8379484285
31.0,70.3277961926
31.2,71.8350440584
31.4,71.5799679404
31.6,71.3249028796
31.8,70.3277961926
32.0,69.8408417415
32.2,69.3307005628
32.4,68.5886699937
32.6,68.3335938758
32.8,69.5857656236
33.0,69.8408417415
33.2,68.8437461116
33.4,68.3335938758
33.6,67.8466394247
33.8,67.081422128
34.0,66.8263460101
34.2,68.8437461116
34.4,68.0785177579
34.6,67.5915633068
34.8,66.5944676769
35.0,66.0843209696
35.2,65.5973609899
35.4,64.8321436933
35.6,66.5944676769
35.8,66.0843209696
36.0,65.8292448517
36.2,65.3422904006
36.4,65.0872198112
36.6,64.8321436933
36.8,64.3451892421
37.0,65.5973609899
37.2,65.3422904006
37.4,65.0872198112
37.6,64.6002598315
37.8,64.0901186528
38.0,63.8350425348
38.2,63.3480880837
38.4,63.0930174943
38.6,64.3451892421
38.8,63.8350425348
39.0,63.5799719455
39.2,63.3480880837
39.4,62.8379413764
39.6,62.5828707871
39.8,62.3509869253
40.0,63.3480880837
40.2,63.0930174943
40.4,62.8379413764
40.6,62.5828707871
40.8,62.3509869253
41.0,62.0959163359
41.2,61.840840218
41.4,61.840840218
41.6,62.3509869253
41.8,62.3509869253
42.0,61.840840218
42.2,61.840840218
42.4,61.5857696286
42.6,61.3538857669
42.8,61.3538857669
43.0,61.840840218
43.2,61.5857696286
43.4,61.3538857669
43.6,61.098809649
43.8,60.8437390596
44.0,60.8437390596
44.2,60.5886684702
44.4,61.098809649
44.6,61.098809649
44.8,60.8437390596
45.0,60.5886684702
45.2,60.3567846085
45.4,60.3567846085
45.6,60.1017084905
45.8,60.5886684702
46.0,60.3567846085
46.2,60.3567846085
46.4,60.1017084905
46.6,60.1017084905
46.8,59.8466379012
47.0,59.8466379012
