timestamp(seconds),value
0.0,164.959686975
0.2,163.962602402
0.4,162.71040854
0.6,161.713323967
0.8,160.206065044
1.0,158.722014963
1.2,157.956797667
1.4,156.95969098
1.6,155.707519232
1.8,154.478534212
2.0,154.223458094
2.2,152.461145167
2.4,151.232160147
2.6,150.722007911
2.8,149.724912281
3.0,148.217664416
3.2,147.220557729
3.4,145.968385981
3.6,145.226355412
3.8,145.226355412
4.0,142.977076977
4.2,141.724905229
4.4,140.98287466
4.6,139.730702913
4.8,138.478531165
5.0,137.481424478
5.2,136.739404966
5.4,136.739404966
5.6,135.00026771
5.8,133.493019844
6.0,132.750989275
6.2,132.008969763
6.4,130.756786958
6.6,129.991569662
6.8,129.991569662
7.0,127.742302284
7.2,126.513317264
7.4,126.003165028
7.6,125.006069398
7.8,124.264038829
8.0,123.266932142
8.2,122.269836512
8.4,122.756790963
8.6,120.507512529
8.8,119.765481959
9.0,119.02345139
9.2,118.258234094
9.4,117.261138464
9.6,116.264031777
9.8,115.266936147
10.0,116.264031777
10.2,114.779981696
10.4,112.762581594
10.6,112.762581594
10.8,112.020562082
11.0,111.278531513
11.2,110.536500944
11.4,109.771283648
11.6,110.768379278
11.8,109.771283648
12.0,107.035050762
12.2,106.779974644
12.4,106.037944075
12.6,105.272726778
12.8,104.275631148
13.0,104.043741758
13.2,105.527802896
13.4,104.275631148
13.6,101.284322144
13.8,101.284322144
14.0,99.8002610064
14.2,99.5451959456
14.4,98.8031653765
14.6,101.029246027
14.8,99.5451959456
15.0,97.2959175108
15.2,96.043745763
15.4,95.301715194
15.6,94.5596846249
15.8,94.0495434462
16.0,95.301715194
16.2,94.7915740152
16.4,93.5393912104
16.6,91.0582344424
16.8,91.0582344424
17.0,90.3162038733
17.2,89.5509865767
17.4,89.0640321255
17.6,88.5538909468
17.8,91.5451888935
18.0,89.5509865767
18.2,87.5567842598
18.4,86.0495363941
18.6,85.562581943
18.8,84.820551374
19.0,84.3104101952
19.2,86.55968863
19.4,85.8176580609
19.6,85.0524407643
19.8,81.8060556425
20.0,81.3191011914
20.2,81.0640361306
20.4,80.5770706224
20.6,79.8118533257
20.8,80.8089600127
21.0,81.5741773093
21.2,80.0669294436
21.4,77.562585948
21.6,76.820555379
21.8,76.5654792611
22.0,75.823448692
22.2,78.5596815779
22.4,77.562585948
22.6,76.5654792611
22.8,74.8263530622
23.0,73.5741813144
23.2,73.3191051964
23.4,72.5770746274
23.6,72.0901201763
23.8,73.3191051964
24.0,74.0843224931
24.2,73.3191051964
24.4,71.0698267617
24.6,69.8408417415
24.8,69.0756244449
25.0,68.8437461116
25.2,68.5886699937
25.4,70.8379484285
25.6,70.5828723106
25.8,69.5857656236
26.0,67.8466394247
26.2,66.8263460101
26.4,66.0843209696
26.6,65.8292448517
26.8,67.5915633068
27.0,68.0785177579
27.2,67.3364982459
27.4,65.5973609899
27.6,65.0872198112
27.8,64.3451892421
28.0,63.8350425348
28.2,66.0843209696
28.4,65.8292448517
28.6,64.8321436933
28.8,63.8350425348
29.0,63.3480880837
29.2,62.8379413764
29.4,62.3509869253
29.6,62.0959163359
29.8,61.840840218
30.0,64.0901186528
30.2,63.3480880837
30.4,62.0959163359
30.6,61.840840218
30.8,61.3538857669
31.0,61.098809649
31.2,62.5828707871
31.4,62.0959163359
31.6,61.5857696286
31.8,60.8437390596
32.0,60.8437390596
32.2,60.3567846085
32.4,60.3567846085
32.6,60.1017084905
32.8,60.1017084905
33.0,61.098809649
33.2,60.8437390596
33.4,60.3567846085
33.6,60.1017084905
33.8,59.8466379012
34.0,59.8466379012
