timestamp(seconds),value
0.0,176.022984
0.05,174.61392953
0.1,174.61392953
0.15,178.51336879
0.2,178.51336879
0.25,177.79248191
0.3,176.74387088
0.35,177.79248191
0.4,176.022984
0.45,173.92579319
0.5,173.92579319
0.55,172.84443162
0.6,172.15629528
0.65,171.79582059
0.7,172.51673872
0.75,171.79582059
0.8,169.33818634
0.85,169.33818634
0.9,168.617283835
0.95,167.929147495
1.0,167.56868843
1.05,166.847785925
1.1,168.617283835
1.15,166.48732686
1.2,164.750595115
1.25,164.750595115
1.3,164.02969261
1.35,163.669233545
1.4,162.981097205
1.45,164.02969261
1.5,162.981097205
1.55,160.85114023
1.6,161.21158367
1.65,160.16300389
1.7,159.802544825
1.75,159.08164232
1.8,160.16300389
1.85,159.08164232
1.9,156.623992445
1.95,157.344910575
2.0,156.623992445
2.05,155.90308994
2.1,155.57539704
2.15,156.263549005
2.2,155.57539704
2.25,154.854494535
2.3,153.445440065
2.35,153.084996625
2.4,152.396860285
2.45,151.675942155
2.5,151.675942155
2.55,153.445440065
2.6,152.757303725
2.65,149.57876697
2.7,149.57876697
2.75,149.218307905
2.8,148.1697125
2.85,148.1697125
2.9,150.62734675
2.95,149.906444245
3.0,146.40021459
3.05,146.40021459
3.1,146.039755525
3.15,145.31885302
3.2,145.67929646
3.25,148.1697125
3.3,147.448809995
3.35,144.63071668
3.4,143.582121275
3.45,142.861203145
3.5,142.500759705
3.55,142.173066805
3.6,145.31885302
3.65,145.31885302
3.7,142.861203145
3.75,140.76402796
3.8,140.403568895
3.85,140.04310983
3.9,139.322207325
3.95,142.173066805
4.0,142.861203145
4.05,140.76402796
4.1,139.322207325
4.15,137.58547558
4.2,137.58547558
4.25,136.864573075
4.3,136.864573075
4.35,140.403568895
4.4,140.04310983
4.45,136.864573075
4.5,135.09505954
4.55,135.09505954
4.6,134.4069232
4.65,134.046464135
4.7,135.09505954
4.75,137.58547558
4.8,135.455518605
4.85,132.63742529
4.9,132.63742529
4.95,132.276966225
5.0,131.916522785
5.05,134.4069232
5.1,135.455518605
5.15,132.276966225
5.2,131.588829885
5.25,130.17979104
5.3,130.17979104
5.35,129.45887291
