timestamp(seconds),value
0.0,172.681431181
0.05,173.446648478
0.1,145.968385981
0.15,144.229259782
0.2,143.742294274
0.25,143.487229213
0.3,142.977076977
0.35,142.490122526
0.4,141.979981347
0.45,142.490122526
0.5,140.98287466
0.55,140.7278096
0.6,140.240855148
0.65,139.730702913
0.7,139.498824579
0.75,138.988672344
0.8,139.730702913
0.85,137.991576714
0.9,137.736500596
0.95,137.481424478
1.0,136.994470027
1.05,136.484328848
1.1,136.252439458
1.15,136.739404966
1.2,135.2321571
1.25,135.00026771
1.3,134.745191592
1.35,134.235050413
1.4,133.748095962
1.45,133.493019844
1.5,134.00317208
1.55,132.750989275
1.6,132.240848096
1.65,132.240848096
1.7,131.753893645
1.75,131.243752466
1.8,130.988676349
1.85,131.753893645
1.9,130.246645779
1.95,129.759691328
2.0,129.759691328
2.05,129.249539093
2.1,128.762584641
2.15,128.507519581
2.2,129.249539093
2.25,127.742302284
2.3,127.510412894
2.35,127.255336776
2.4,126.745195597
2.45,126.513317264
2.5,126.258241146
2.55,127.000271715
2.6,125.261134459
2.65,125.006069398
2.7,125.006069398
2.75,124.51910389
2.8,124.264038829
2.85,123.753886593
2.9,124.75099328
2.95,123.011867081
3.0,122.756790963
3.05,122.756790963
3.1,122.269836512
3.15,122.014760394
3.2,121.759684276
3.25,122.756790963
3.3,121.017664764
3.35,121.017664764
3.4,120.762588646
3.45,120.252436411
3.5,120.020558077
3.55,120.020558077
3.6,120.762588646
3.65,118.76838633
3.7,119.02345139
3.75,118.76838633
3.8,118.258234094
3.85,118.026355761
3.9,119.255340781
3.95,118.76838633
4.0,116.774184013
4.05,117.029249074
4.1,116.774184013
4.15,116.264031777
4.2,116.008966716
4.25,117.516214582
4.3,116.008966716
4.35,114.779981696
4.4,115.011860029
4.45,114.779981696
4.5,114.26982946
4.55,114.014764399
4.6,115.522001208
4.65,114.779981696
4.7,113.017657712
4.75,113.27273383
4.8,113.017657712
4.85,112.530703261
4.9,112.275627143
4.95,114.014764399
5.0,113.27273383
5.05,111.278531513
5.1,111.533596574
5.15,111.023455395
5.2,110.768379278
5.25,110.536500944
5.3,110.768379278
5.35,110.281424826
5.4,109.539394257
5.45,109.771283648
5.5,109.539394257
5.55,109.029253079
5.6,108.774176961
5.65,108.774176961
5.7,110.281424826
5.75,108.032146392
5.8,107.777081331
5.85,107.777081331
5.9,107.29012688
5.95,107.035050762
6.0,107.035050762
6.05,108.5191119
6.1,106.779974644
6.15,106.037944075
6.2,106.037944075
6.25,105.782879014
6.3,105.527802896
6.35,105.272726778
6.4,107.035050762
6.45,105.272726778
6.5,104.275631148
6.55,104.530696209
6.6,104.043741758
6.65,103.788676697
6.7,103.533600579
6.75,104.043741758
6.8,104.043741758
6.85,102.79157001
6.9,102.79157001
6.95,102.536493892
7.0,102.281428831
7.05,102.049539441
7.1,102.281428831
7.15,102.536493892
7.2,101.284322144
7.25,101.284322144
7.3,101.029246027
7.35,100.797367693
7.4,100.542291575
7.45,100.797367693
7.5,101.029246027
7.55,100.032150397
7.6,100.032150397
7.65,99.5451959456
7.7,99.2901198277
7.75,99.0350437097
7.8,101.029246027
7.85,99.5451959456
7.9,98.5480892586
7.95,98.5480892586
8.0,98.2930241978
8.05,97.8060586896
8.1,97.5509936287
8.15,99.8002610064
8.2,98.2930241978
8.25,97.5509936287
8.3,97.2959175108
8.35,96.7857763321
8.4,96.5538869418
8.45,96.2988108239
8.5,98.5480892586
8.55,97.2959175108
8.6,96.2988108239
8.65,95.7886696451
8.7,95.5567913119
8.75,95.301715194
8.8,95.0466390761
8.85,97.0408413929
8.9,96.043745763
8.95,95.0466390761
9.0,94.5596846249
9.05,94.304608507
9.1,94.0495434462
9.15,93.5393912104
9.2,95.7886696451
9.25,94.7915740152
9.3,93.5393912104
9.35,93.3075128771
9.4,92.7973716984
9.45,92.5422955805
9.5,92.3104061902
9.55,92.0553411294
9.6,92.0553411294
9.65,91.8002650114
9.7,91.5451888935
9.75,91.3133105603
9.8,91.3133105603
9.85,91.0582344424
9.9,93.0524367592
9.95,92.0553411294
10.0,91.0582344424
10.05,90.5480932636
10.1,90.5480932636
10.15,90.3162038733
10.2,91.8002650114
10.25,91.5451888935
10.3,90.3162038733
10.35,89.8060626946
10.4,89.5509865767
10.45,89.2959215159
10.5,89.0640321255
10.55,91.3133105603
10.6,90.5480932636
10.65,89.2959215159
10.7,88.8089560076
10.75,88.2988148289
10.8,88.0669364957
10.85,90.0611388125
10.9,90.0611388125
10.95,89.2959215159
11.0,88.2988148289
11.05,87.5567842598
11.1,87.3017081419
11.15,87.0698298087
11.2,87.8118603778
11.25,89.0640321255
11.3,88.0669364957
11.35,87.3017081419
11.4,86.8147536908
11.45,86.55968863
11.5,86.3046125121
11.55,88.8089560076
11.6,88.5538909468
11.65,87.3017081419
11.7,86.55968863
11.75,86.0495363941
11.8,85.8176580609
11.85,86.3046125121
11.9,88.2988148289
11.95,87.3017081419
12.0,86.55968863
12.05,85.8176580609
12.1,85.562581943
12.15,85.3075058251
12.2,84.820551374
12.25,84.5654863131
12.3,84.3104101952
12.35,83.8234557441
12.4,83.8234557441
12.45,83.5683796262
12.5,83.3133035082
12.55,83.3133035082
12.6,85.8176580609
12.65,84.5654863131
12.7,83.8234557441
12.75,83.3133035082
12.8,82.8263490571
12.85,84.5654863131
12.9,85.3075058251
12.95,84.0553340773
13.0,83.5683796262
13.05,82.8263490571
13.1,82.0611317605
13.15,81.8060556425
13.2,81.3191011914
13.25,82.0611317605
13.3,83.3133035082
13.35,82.3162078784
13.4,81.5741773093
13.45,81.0640361306
13.5,80.8089600127
13.55,80.5770706224
13.6,82.8263490571
13.65,81.8060556425
13.7,81.3191011914
13.75,80.5770706224
13.8,80.3220055615
13.85,79.8118533257
13.9,81.8060556425
13.95,81.8060556425
14.0,81.0640361306
14.05,80.3220055615
14.1,79.8118533257
14.15,79.5799749925
14.2,79.0698338138
14.25,81.0640361306
14.3,80.3220055615
14.35,80.0669294436
14.4,79.3248988746
14.45,78.8147576958
14.5,78.0727271268
14.55,78.0727271268
14.6,79.8118533257
14.65,80.0669294436
14.7,79.3248988746
14.75,78.5596815779
14.8,78.0727271268
14.85,77.8176510089
14.9,77.562585948
14.95,77.0756204398
15.0,79.5799749925
15.05,78.8147576958
15.1,77.8176510089
15.15,77.3306965577
15.2,77.0756204398
15.25,76.820555379
15.3,76.3336009279
15.35,77.0756204398
15.4,77.8176510089
15.45,77.0756204398
15.5,76.5654792611
15.55,76.3336009279
15.6,76.0785248099
15.65,75.5683836312
15.7,77.562585948
15.75,77.8176510089
15.8,76.5654792611
15.85,75.823448692
15.9,75.3364942409
15.95,75.081418123
16.0,74.5712769442
16.05,74.3162008263
16.1,76.5654792611
16.15,75.5683836312
16.2,75.081418123
16.25,74.3162008263
16.3,74.0843224931
16.35,73.5741813144
16.4,73.3191051964
16.45,75.5683836312
16.5,74.5712769442
16.55,73.8292463752
16.6,73.3191051964
16.65,73.0872158061
16.7,72.5770746274
16.75,72.3219985095
16.8,74.5712769442
16.85,73.8292463752
16.9,73.3191051964
16.95,72.8321507453
17.0,72.5770746274
17.05,72.5770746274
17.1,72.3219985095
17.15,74.8263530622
17.2,74.0843224931
17.25,73.5741813144
17.3,72.5770746274
17.35,72.0901201763
17.4,71.8350440584
17.45,73.3191051964
17.5,73.3191051964
17.55,72.5770746274
17.6,72.0901201763
17.65,71.5799679404
17.7,71.0698267617
17.75,70.5828723106
17.8,71.3249028796
17.85,72.0901201763
17.9,71.5799679404
17.95,71.0698267617
18.0,70.5828723106
18.05,70.3277961926
18.1,71.5799679404
18.15,72.3219985095
18.2,71.3249028796
18.25,70.8379484285
18.3,70.3277961926
18.35,69.8408417415
18.4,69.3307005628
18.45,70.0727311318
18.5,70.5828723106
18.55,70.3277961926
18.6,69.8408417415
18.65,69.3307005628
18.7,69.0756244449
18.75,68.8437461116
18.8,70.8379484285
18.85,69.8408417415
18.9,69.3307005628
18.95,68.8437461116
19.0,68.5886699937
19.05,68.3335938758
19.1,68.5886699937
19.15,69.3307005628
19.2,68.8437461116
19.25,68.5886699937
19.3,68.0785177579
19.35,68.0785177579
19.4,67.8466394247
19.45,68.8437461116
19.5,68.5886699937
19.55,68.3335938758
19.6,68.0785177579
19.65,67.8466394247
19.7,67.3364982459
